iShares MSCI ACWI ETF
Fund Holdings as of,"Dec 24, 2024"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"163,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TTE","TOTALENERGIES","Energy","Equity","29,397,957.82","0.15","29,397,957.82","543,889.00","54.05","France","Nyse Euronext - Euronext Paris","USD","0.96","EUR","-"
"TMUS","T MOBILE US INC","Communication","Equity","29,211,856.89","0.15","29,211,856.89","130,989.00","223.01","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","29,158,979.65","0.15","29,158,979.65","310,367.00","93.95","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","28,910,786.08","0.15","28,910,786.08","500,533.00","57.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","28,801,476.33","0.15","28,801,476.33","466,723.00","61.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"6501","HITACHI LTD","Industrials","Equity","28,011,618.15","0.14","28,011,618.15","1,141,800.00","24.53","Japan","Tokyo Stock Exchange","USD","157.34","JPY","-"
"DE","DEERE","Industrials","Equity","27,616,490.52","0.14","27,616,490.52","63,803.00","432.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","27,232,462.12","0.14","27,232,462.12","124,868.00","218.09","United States","NASDAQ","USD","1.00","USD","-"
"SAN","SANOFI SA","Health Care","Equity","26,369,466.25","0.14","26,369,466.25","276,551.00","95.35","France","Nyse Euronext - Euronext Paris","USD","0.96","EUR","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","26,176,583.40","0.13","26,176,583.40","64,130.00","408.18","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","26,038,176.78","0.13","26,038,176.78","94,157.00","276.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","25,876,645.99","0.13","25,876,645.99","863,661.00","29.96","Germany","Xetra","USD","0.96","EUR","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","25,843,066.59","0.13","25,843,066.59","52,943.00","488.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","25,812,057.78","0.13","25,812,057.78","316,557.00","81.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
